Id,Company,Product,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Price_euros,Class
33,Dell,XPS 13,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,16,1TB SSD,Intel UHD Graphics 620,Windows 10,2499.0,1
34,Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,1142.4,6
35,Dell,Precision 3520,Workstation,15.6,Intel Xeon E3-1505M V6 3GHz,8,64GB Flash Storage +  1TB HDD,Nvidia Quadro M620,Windows 10,1993.0,5
36,Dell,Precision 3520,Workstation,15.6,Intel Core i7 6820HQ 2.7GHz,16,256GB SSD,Nvidia Quadro M620,Windows 10,1975.0,5
37,Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,979.0,3
38,Dell,Precision 3520,Workstation,15.6,Intel Core i7 6820HQ 2.7GHz,16,512GB SSD,Nvidia Quadro M620,Windows 10,2338.0,1
39,Dell,Latitude 5580,Notebook,15.6,Intel Core i7 7600U 2.8GHz,8,256GB SSD,Nvidia GeForce 930MX,Windows 10,1369.0,0
40,Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8,128GB SSD,Intel UHD Graphics 620,Windows 10,1599.0,4
41,Dell,Latitude 5580,Notebook,15.6,Intel Core i7 7600U 2.8GHz,16,256GB SSD,Nvidia GeForce 930MX,Windows 10,1537.39,7
42,Dell,XPS 15,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,16,1TB SSD,Nvidia GeForce GTX 1050,Windows 10,2399.0,1
43,Dell,Inspiron 5570,Notebook,15.6,Intel Core i7 8550U 1.8GHz,16,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,1135.0,6
44,Dell,Latitude E7470,Notebook,14.0,Intel Core i5 6300U 2.4GHz,8,256GB SSD,Intel HD Graphics 520,Windows 10,1229.0,0
45,Dell,Inspiron 7560,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,1207.0,6
46,Dell,Latitude 7280,Ultrabook,12.5,Intel Core i7 7600U 2.8GHz,16,256GB SSD,Intel HD Graphics 620,Windows 10,1859.0,2
47,Dell,Inspiron 7559,Gaming,15.6,Intel Core i7 6700HQ 2.6GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows 10,1099.0,6
48,Dell,Inspiron 5567,Notebook,15.6,Intel Core i7 7500U 2.7GHz,16,256GB SSD,AMD Radeon R7 M445,Windows 10,1181.27,6
49,Dell,XPS 13,Ultrabook,13.3,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1499.0,7
50,Dell,Inspiron 7567,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1679.0,4
51,Dell,Latitude 5580,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,128GB SSD,Intel HD Graphics 620,Windows 10,945.0,3
52,Dell,Latitude 7280,Ultrabook,12.5,Intel Core i7 7600U 2.8GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1690.0,4
53,Dell,Latitude 5580,Notebook,15.6,Intel Core i5 7300U 2.6GHz,8,500GB HDD,Intel HD Graphics 620,Windows 10,935.0,3
54,Dell,XPS 13,2 in 1 Convertible,13.3,Intel Core i7 7Y75 1.3GHz,8,512GB SSD,Intel HD Graphics 615,Windows 10,2013.1,5
55,Dell,XPS 13,2 in 1 Convertible,13.3,Intel Core i7 7Y75 1.3GHz,16,256GB SSD,Intel HD Graphics 615,Windows 10,1649.0,4
56,Dell,Latitude 5480,Notebook,14.0,Intel Core i5 7440HQ 2.8GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1205.0,6
57,Dell,Inspiron 7567,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,1349.0,0
58,Dell,Latitude 7480,Ultrabook,14.0,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1639.0,4
59,Dell,XPS 13,2 in 1 Convertible,13.3,Intel Core i7 7Y75 1.3GHz,16,512GB SSD,Intel HD Graphics 615,Windows 10,1899.0,2
60,Dell,Latitude 5480,Notebook,14.0,Intel Core i5 7200U 2.5GHz,8,128GB SSD,Intel HD Graphics 620 ,Windows 10,1119.0,6
61,Dell,Latitude E5570,Notebook,15.6,Intel Core i5 6300U 2.4GHz,8,500GB HDD,Intel HD Graphics 520,Windows 10,1046.44,3
62,Dell,XPS 13,Ultrabook,13.3,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1624.0,4
63,Dell,Latitude E5570,Notebook,15.6,Intel Core i5 6300U 2.4GHz,8,256GB SSD,Intel HD Graphics 520,Windows 7,1062.95,6
64,Dell,Inspiron 5578,2 in 1 Convertible,15.6,Intel Core i5 7200U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1094.0,6
65,Dell,XPS 13,Ultrabook,13.3,Intel Core i7 7500U 2.7GHz,16,1TB SSD,Intel HD Graphics 620,Windows 10,2254.0,1
66,Dell,Inspiron 5567,Notebook,15.6,Intel Core i7 7500U 2.7GHz,16,2TB HDD,AMD Radeon R7 M445,Windows 10,989.99,3
67,Dell,XPS 13,Ultrabook,13.3,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1458.0,7
68,Dell,Alienware 15,Gaming,15.6,Intel Core i7 6700HQ 2.6GHz,16,256GB SSD +  1TB HDD,Nvidia GeForce GTX 970M,Windows 10,1329.0,0
69,Dell,Latitude E5270,Ultrabook,12.5,Intel Core i5 6200U 2.3GHz,8,256GB SSD,Intel HD Graphics 520,Windows 7,1413.1,7
70,Dell,XPS 13,Ultrabook,13.3,Intel Core i7 7560U 2.4GHz,8,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1379.0,0
71,Dell,Vostro 5568,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Nvidia GeForce 940MX,Windows 10,1009.9,3
72,Dell,XPS 15,Notebook,15.6,Intel Core i5 6300HQ 2.3GHz,8,256GB SSD,Nvidia GeForce 960M,Windows 10,2250.68,1
73,Dell,Inspiron 7567,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,1498.0,7
74,Dell,Inspiron 7378,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1199.0,6
75,Dell,Inspiron 5579,2 in 1 Convertible,15.6,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Intel UHD Graphics 620,Windows 10,1285.0,0
76,Dell,Inspiron 7579,2 in 1 Convertible,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,999.0,3
77,Dell,XPS 13,Ultrabook,13.3,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Intel HD Graphics 620,Windows 10,1477.0,7
78,Dell,Inspiron 7779,2 in 1 Convertible,17.3,Intel Core i7 7500U 2.7GHz,16,512GB SSD,Nvidia GeForce 940MX,Windows 10,1799.0,2
79,Dell,XPS 13,2 in 1 Convertible,13.3,Intel Core i5 7Y54 1.2GHz,8,256GB SSD,Intel HD Graphics 615,Windows 10,1813.0,2
80,Dell,Vostro 5471,Ultrabook,14.0,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows 10,879.0,3
1,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 2.3GHz,8,128GB SSD,Intel Iris Plus Graphics 640,macOS,1339.69,0
2,Apple,Macbook Air,Ultrabook,13.3,Intel Core i5 1.8GHz,8,128GB Flash Storage,Intel HD Graphics 6000,macOS,898.94,3
3,Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 2.7GHz,16,512GB SSD,AMD Radeon Pro 455,macOS,2537.45,1
4,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 3.1GHz,8,256GB SSD,Intel Iris Plus Graphics 650,macOS,1803.6,2
5,Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 2.2GHz,16,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2139.97,5
6,Apple,Macbook Air,Ultrabook,13.3,Intel Core i5 1.8GHz,8,256GB Flash Storage,Intel HD Graphics 6000,macOS,1158.7,6
7,Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 2.8GHz,16,256GB SSD,AMD Radeon Pro 555,macOS,2439.97,1
8,Apple,"MacBook 12""",Ultrabook,12.0,Intel Core M m3 1.2GHz,8,256GB SSD,Intel HD Graphics 615,macOS,1262.4,0
9,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 2.3GHz,8,256GB SSD,Intel Iris Plus Graphics 640,macOS,1518.55,7
10,Apple,MacBook Air,Ultrabook,13.3,Intel Core i5 1.6GHz,8,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1099.0,6
11,Apple,MacBook Air,Ultrabook,13.3,Intel Core i5 1.6GHz,8,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,998.0,3
12,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 2.0GHz,8,256GB SSD,Intel Iris Graphics 540,macOS,1419.0,7
13,Apple,"MacBook 12""",Ultrabook,12.0,Intel Core i5 1.3GHz,8,512GB SSD,Intel HD Graphics 615,macOS,1510.0,7
14,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 3.1GHz,8,512GB SSD,Intel Iris Plus Graphics 650,macOS,2040.0,5
15,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 2.9GHz,8,512GB SSD,Intel Iris Graphics 550,macOS,1958.9,5
16,Apple,"MacBook 12""",Ultrabook,12.0,Intel Core M 1.2GHz,8,512GB Flash Storage,Intel HD Graphics 5300,Mac OS X,1165.0,6
17,Apple,"MacBook 12""",Ultrabook,12.0,Intel Core M 1.1GHz,8,256GB Flash Storage,Intel HD Graphics 515,Mac OS X,1300.0,0
18,Apple,"MacBook 12""",Ultrabook,12.0,Intel Core M 1.1GHz,8,256GB Flash Storage,Intel HD Graphics 5300,Mac OS X,1163.0,6
19,Apple,"MacBook 12""",Ultrabook,12.0,Intel Core M 1.2GHz,8,512GB Flash Storage,Intel HD Graphics 515,Mac OS X,1279.0,0
20,Apple,MacBook Air,Ultrabook,11.6,Intel Core i5 1.6GHz,4,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,959.0,3
